

group_span_2(m), Y
1e-06, 0.523373
2e-06, 0.517082
3e-06, 0.502015
4e-06, 0.474854
5e-06, 0.430828
6e-06, 0.37658
7e-06, 0.320829
8e-06, 0.277372
9e-06, 0.258987
1e-05, 0.272693
1.1e-05, 0.316449
1.2e-05, 0.378931
1.3e-05, 0.442575
1.4e-05, 0.489023
1.5e-05, 0.505144
1.6e-05, 0.488098
1.7e-05, 0.450968
1.8e-05, 0.395862
1.9e-05, 0.338441
2e-05, 0.296935
2.1e-05, 0.287682
2.2e-05, 0.319159
2.3e-05, 0.388757
2.4e-05, 0.482648
2.5e-05, 0.578346
2.6e-05, 0.653329
2.7e-05, 0.689911
2.8e-05, 0.675819
2.9e-05, 0.614513
3e-05, 0.522528
3.1e-05, 0.425183
3.2e-05, 0.349617
3.3e-05, 0.317121
3.4e-05, 0.337044
3.5e-05, 0.404087
3.6e-05, 0.499838
3.7e-05, 0.598171
3.8e-05, 0.672957
3.9e-05, 0.705796
4e-05, 0.691449
4.1e-05, 0.639296
4.2e-05, 0.570316
4.3e-05, 0.510477
4.4e-05, 0.48251
4.5e-05, 0.4986
4.6e-05, 0.556284
4.7e-05, 0.638896
4.8e-05, 0.720527
4.9e-05, 0.774041
5e-05, 0.779731



