

group_span_2(m), Y
1e-06, 0.472658
2e-06, 0.479202
3e-06, 0.487743
4e-06, 0.497767
5e-06, 0.510433
6e-06, 0.523796
7e-06, 0.538925
8e-06, 0.556279
9e-06, 0.575252
1e-05, 0.593587
1.1e-05, 0.607473
1.2e-05, 0.612409
1.3e-05, 0.604563
1.4e-05, 0.582625
1.5e-05, 0.551456
1.6e-05, 0.515812
1.7e-05, 0.482335
1.8e-05, 0.454895
1.9e-05, 0.434837
2e-05, 0.430817
2.1e-05, 0.443349
2.2e-05, 0.469846
2.3e-05, 0.505902
2.4e-05, 0.546836
2.5e-05, 0.588703
2.6e-05, 0.629009
2.7e-05, 0.666558
2.8e-05, 0.700753
2.9e-05, 0.730754
3e-05, 0.754952
3.1e-05, 0.77101
3.2e-05, 0.776476
3.3e-05, 0.769697
3.4e-05, 0.750957
3.5e-05, 0.722916
3.6e-05, 0.687998
3.7e-05, 0.649106
3.8e-05, 0.609456
3.9e-05, 0.572317
4e-05, 0.540751
4.1e-05, 0.517364
4.2e-05, 0.504107
4.3e-05, 0.502131
4.4e-05, 0.511705
4.5e-05, 0.532216
4.6e-05, 0.562236
4.7e-05, 0.599655
4.8e-05, 0.641842
4.9e-05, 0.685696
5e-05, 0.72828



