

group_span_2(m), Y
1e-06, 0.766756
2e-06, 0.740434
3e-06, 0.714202
4e-06, 0.66237
5e-06, 0.594739
6e-06, 0.519731
7e-06, 0.453193
8e-06, 0.42013
9e-06, 0.444033
1e-05, 0.522958
1.1e-05, 0.633053
1.2e-05, 0.749934
1.3e-05, 0.855556
1.4e-05, 0.937112
1.5e-05, 0.985829
1.6e-05, 0.996684
1.7e-05, 0.968654
1.8e-05, 0.905316
1.9e-05, 0.81586
2e-05, 0.716584
2.1e-05, 0.632544
2.2e-05, 0.594463
2.3e-05, 0.619475
2.4e-05, 0.693535
2.5e-05, 0.785068
2.6e-05, 0.866185
2.7e-05, 0.917198
2.8e-05, 0.925283
2.9e-05, 0.88639
3e-05, 0.801289
3.1e-05, 0.594429
3.2e-05, 0.564698
3.3e-05, 0.536507
3.4e-05, 0.5111
3.5e-05, 0.489828
3.6e-05, 0.474044
3.7e-05, 0.464944
3.8e-05, 0.463372
3.9e-05, 0.469689
4e-05, 0.483795
4.1e-05, 0.504715
4.2e-05, 0.531344
4.3e-05, 0.562427
4.4e-05, 0.596705
4.5e-05, 0.633007
4.6e-05, 0.670281
4.7e-05, 0.707607
4.8e-05, 0.743619
4.9e-05, 0.7774
5e-05, 0.809178



